,code,pinyin_abbr,fund_name,fund_type,pinyin
284,000408,MSJYCZHHHA,民生加银城镇化混合A,混合型-灵活,MINSHENGJIAYINCHENGZHENHUAHUNHEA
285,000409,PHHBCYGP,鹏华环保产业股票,股票型,PENGHUAHUANBAOCHANYEGUPIAO
286,000410,YMFWLXHHA,益民服务领先混合A,混合型-灵活,YIMINFUWULINGXIANHUNHEA
287,000411,JSCCYZCZGPA,景顺长城优质成长股票A,股票型,JINGSHUNCHANGCHENGYOUZHICHENGZHANGGUPIAOA
288,000414,JSJDSYCLDQHHA,嘉实绝对收益策略定期混合A,混合型-绝对收益,JIASHIJUEDUISHOUYICELUEDINGQIHUNHEA
289,000415,DMTL18GYDKZA,大摩添利18个月定开债A,债券型-长债,DAMOTIANLI18GEYUEDINGKAIZHAIA
290,000416,DMTL18GYDKZC,大摩添利18个月定开债C,债券型-长债,DAMOTIANLI18GEYUEDINGKAIZHAIC
291,000417,GLAXJXHHA,国联安新精选混合A,混合型-灵活,GUOLIANANXINJINGXUANHUNHEA
292,000418,JSCCCZZXGPA,景顺长城成长之星股票A,股票型,JINGSHUNCHANGCHENGCHENGZHANGZHIXINGGUPIAOA
293,000419,DMYZXJCZA,大摩优质信价纯债A,债券型-长债,DAMOYOUZHIXINJIACHUNZHAIA
294,000420,DMYZXJCZC,大摩优质信价纯债C,债券型-长债,DAMOYOUZHIXINJIACHUNZHAIC
295,000423,QHKYSJQDHHA,前海开源事件驱动混合A,混合型-灵活,QIANHAIKAIYUANSHIJIANQUDONGHUNHEA
296,000424,CSTLBHBA,长盛添利宝货币A,货币型-普通货币,CHANGSHENGTIANLIBAOHUOBIA
297,000425,CSTLBHBB,长盛添利宝货币B,货币型-普通货币,CHANGSHENGTIANLIBAOHUOBIB
298,000431,PHPPCCHH,鹏华品牌传承混合,混合型-灵活,PENGHUAPINPAICHUANCHENGHUNHE
299,000432,ZYYXQYHH,中银优秀企业混合,混合型-偏股,ZHONGYINYOUXIUQIYEHUNHE
